From	Entry	Entry.Name	Gene.Names
Q487L0	Q487L0	Q487L0_COLP3	CPS_1006
Q487L2	Q487L2	Q487L2_COLP3	CPS_1004
Q487L6	Q487L6	Q487L6_COLP3	CPS_1000
Q480H5	Q480H5	SYM_COLP3	CPS_2839
Q487L7	Q487L7	Q487L7_COLP3	CPS_0999
Q487P2	Q487P2	Q487P2_COLP3	CPS_0974
Q487P8	Q487P8	Q487P8_COLP3	CPS_0968
Q487P9	Q487P9	Q487P9_COLP3	CPS_0967
Q487R1	Q487R1	Q487R1_COLP3	CPS_0955
Q487R9	Q487R9	Q487R9_COLP3	CPS_0947
Q480K7	Q480K7	PYRD_COLP3	CPS_2800
Q487S0	Q487S0	Q487S0_COLP3	CPS_0946
Q487S4	Q487S4	Q487S4_COLP3	CPS_0942
Q47UN7	Q47UN7	ILVD_COLP3	CPS_4846
Q487T6	Q487T6	Q487T6_COLP3	CPS_0930
Q487T7	Q487T7	Q487T7_COLP3	CPS_0929
Q487U0	Q487U0	Q487U0_COLP3	CPS_0926
Q487U6	Q487U6	Q487U6_COLP3	CPS_0920
Q480Q2	Q480Q2	SYS_COLP3	CPS_2755
Q487W2	Q487W2	Q487W2_COLP3	CPS_0904
Q487W7	Q487W7	Q487W7_COLP3	CPS_0899
Q488C5	Q488C5	Q488C5_COLP3	CPS_0841
Q481G3	Q481G3	SYN_COLP3	CPS_2591
Q488F1	Q488F1	Q488F1_COLP3	CPS_0815
Q488H8	Q488H8	Q488H8_COLP3	CPS_0788
Q488L5	Q488L5	Q488L5_COLP3	CPS_0750
Q488L8	Q488L8	Q488L8_COLP3	CPS_0746
Q488N1	Q488N1	Q488N1_COLP3	CPS_0733
Q488N2	Q488N2	Q488N2_COLP3	CPS_0732
Q488N3	Q488N3	Q488N3_COLP3	CPS_0731
Q488P0	Q488P0	Q488P0_COLP3	CPS_0724
Q488P1	Q488P1	Q488P1_COLP3	CPS_0723
Q488P2	Q488P2	Q488P2_COLP3	CPS_0722
Q488R6	Q488R6	Q488R6_COLP3	CPS_0698
Q488S2	Q488S2	Q488S2_COLP3	CPS_0692
Q482F9	Q482F9	PYRF_COLP3	CPS_2339
Q488W3	Q488W3	Q488W3_COLP3	CPS_0651
Q489B6	Q489B6	Q489B6_COLP3	CPS_0598
Q482G5	Q482G5	AROA_COLP3	CPS_2333
Q489B7	Q489B7	Q489B7_COLP3	CPS_0597
Q489B8	Q489B8	Q489B8_COLP3	CPS_0596
Q489B9	Q489B9	Q489B9_COLP3	CPS_0595
Q482G8	Q482G8	UBIG_COLP3	CPS_2330
Q489F1	Q489F1	Q489F1_COLP3	CPS_0555
Q489M3	Q489M3	Q489M3_COLP3	CPS_0483
Q482K2	Q482K2	PLSX_COLP3	CPS_2295
Q489N1	Q489N1	Q489N1_COLP3	CPS_0475
Q489P2	Q489P2	Q489P2_COLP3	CPS_0464
Q489P4	Q489P4	Q489P4_COLP3	CPS_0462
Q489Q6	Q489Q6	Q489Q6_COLP3	CPS_0450
Q489R6	Q489R6	Q489R6_COLP3	CPS_0440
Q482K5	Q482K5	NTPPB_COLP3	CPS_2292
Q489U4	Q489U4	Q489U4_COLP3	CPS_0412
Q482M9	Q482M9	RLMF_COLP3	CPS_2268
Q489V4	Q489V4	Q489V4_COLP3	CPS_0402
Q489W2	Q489W2	Q489W2_COLP3	CPS_0394
Q48A03	Q48A03	Q48A03_COLP3	CPS_0353
Q48A19	Q48A19	Q48A19_COLP3	CPS_0328
Q482S1	Q482S1	SUCC_COLP3	CPS_2221
Q48A21	Q48A21	Q48A21_COLP3	CPS_0326
Q48A26	Q48A26	Q48A26_COLP3	CPS_0321
Q48A32	Q48A32	Q48A32_COLP3	CPS_0315
Q48A51	Q48A51	Q48A51_COLP3	CPS_0296
Q48A52	Q48A52	Q48A52_COLP3	CPS_0295
Q48A53	Q48A53	Q48A53_COLP3	CPS_0294
Q48A60	Q48A60	Q48A60_COLP3	CPS_0287
Q482T6	Q482T6	RS15_COLP3	CPS_2206
Q48A67	Q48A67	Q48A67_COLP3	CPS_0279
Q48A68	Q48A68	Q48A68_COLP3	CPS_0278
Q48A70	Q48A70	Q48A70_COLP3	CPS_0276
Q482T7	Q482T7	TRUB_COLP3	CPS_2205
Q48A98	Q48A98	Q48A98_COLP3	CPS_0248
Q48AD2	Q48AD2	Q48AD2_COLP3	CPS_0214
Q48AG9	Q48AG9	Q48AG9_COLP3	CPS_0176
Q48AH1	Q48AH1	Q48AH1_COLP3	CPS_0174
Q48AI2	Q48AI2	Q48AI2_COLP3	CPS_0163
Q48AI3	Q48AI3	Q48AI3_COLP3	CPS_0162
Q48AI6	Q48AI6	Q48AI6_COLP3	CPS_0159
Q48AJ2	Q48AJ2	Q48AJ2_COLP3	CPS_0153
Q48AJ4	Q48AJ4	Q48AJ4_COLP3	CPS_0151
Q482Z9	Q482Z9	CYSN_COLP3	CPS_2143
Q48AK3	Q48AK3	Q48AK3_COLP3	CPS_0142
Q483A0	Q483A0	CYSD_COLP3	CPS_2142
Q48AN6	Q48AN6	Q48AN6_COLP3	CPS_0109
